exact_001.gr,6,0, 
exact_003.gr,11,0, 
exact_005.gr,5,0, 
exact_007.gr,9,0, 
exact_009.gr,6,0, 
exact_011.gr,5,0, 
exact_013.gr,7,0, 
exact_015.gr,5,0, 
exact_017.gr,10,0, 
exact_019.gr,7,0, 
exact_021.gr,5,0, 
exact_023.gr,7,0, 
exact_025.gr,8,0, 
exact_027.gr,11,0, 
exact_029.gr,12,0, 
exact_031.gr,11,0, 
exact_033.gr,12,0, 
exact_035.gr,9,0, 
exact_037.gr,7,0, 
exact_039.gr,7,0, 
exact_041.gr,5,0, 
exact_043.gr,14,0.2, 
exact_045.gr,11,4.3, 
exact_047.gr,25,1.2, 
exact_049.gr,10,0.2, 
exact_051.gr,11,0, 
exact_053.gr,7,0, 
exact_055.gr,9,0, 
exact_057.gr,13,129.7, 
exact_059.gr,42,28.9, 
exact_061.gr,13,17, 
exact_063.gr,12,0.5, 
exact_065.gr,11,0, 
exact_067.gr,9,0.3, 
exact_069.gr,6,0, 
exact_071.gr,15,0.5, 
exact_073.gr,16,1, 
exact_077.gr,12,0.2, 
exact_079.gr,9,0.2, 
exact_081.gr,7,0, 
exact_083.gr,22,382, 
exact_085.gr,13,13.7, 
exact_087.gr,13,0, 
exact_089.gr,15,0, 
exact_091.gr,9,0.2, 
exact_093.gr,6,0, 
exact_095.gr,8,0.2, 
exact_097.gr,7,0, 
exact_099.gr,13,6.4, 
exact_103.gr,13,54.1, 
exact_105.gr,9,0.3, 
exact_107.gr,11,20.3, 
exact_109.gr,9,1.2, 
exact_111.gr,18,0.6, 
exact_113.gr,6,0, 
exact_115.gr,12,14.9, 
exact_123.gr,12,181.5, 
exact_125.gr,10,0.9, 
exact_127.gr,8,0, 
exact_133.gr,15,3.6, 
exact_137.gr,58,0.1, 
exact_141.gr,13,79.5, 
exact_143.gr,16,0.1, 
exact_145.gr,7,0.9, 
exact_151.gr,7,0, 
exact_153.gr,14,0.2, 
exact_157.gr,11,18.7, 
exact_159.gr,15,28.4, 
exact_161.gr,13,3.2, 
exact_165.gr,9,1.8, 
exact_173.gr,16,5.4, 
exact_177.gr,9,0.2, 
exact_181.gr,10,1.9, 
exact_185.gr,19,604, 
exact_189.gr,8,0, 
